Unnamed: 0,Player,Position,Age,90 mins played,Non Penalty xG,Non-penalty goals,Non-Penalty(xG-Goals),Expected Assists,Assists,xAG-Assists,npxGi-npGi,Non Penalty xG + Assisted Goals,xG/90,Expected Assisted Goals/90,Expected Goals+Assisted Goals/90,Non Penalty xG/90,Non Penalty xG+xAG/90
238,Eden Hazard,FW,31.0,2.2,0.2,0,0.2,0.5,1,-0.5,-0.3,0.7,0.45,0.23,0.67,0.08,0.31
239,Mariano,FW,28.0,1.7,0.6,0,0.6,0.4,0,0.4,1.0,1.0,0.32,0.25,0.57,0.32,0.57
240,Álvaro Muñoz,FW,18.0,0.9,0.2,1,-0.8,0.3,1,-0.7,-1.5,0.5,0.28,0.33,0.6,0.28,0.6
241,Álvaro Odriozola,DF,26.0,0.4,0.2,0,0.2,0.3,0,0.3,0.5,0.5,0.56,0.66,1.22,0.56,1.22
242,Jesús Vallejo,DF,25.0,0.2,0.3,0,0.3,0.0,0,0.0,0.3,0.3,1.29,0.0,1.29,1.29,1.29
243,Sergio Arribas,"MF,FW",20.0,0.2,0.2,0,0.2,0.0,0,0.0,0.2,0.2,0.74,0.14,0.88,0.74,0.88
244,Casemiro,MF,30.0,0.1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,Nahuel Molina,DF,24.0,31.9,2.6,4,-1.4,3.9,2,1.9,0.5,6.5,0.08,0.12,0.2,0.08,0.2
246,Antoine Griezmann,"FW,MF",31.0,31.8,12.3,15,-2.7,13.9,16,-2.1,-4.8,26.2,0.39,0.44,0.83,0.39,0.83
247,Koke,MF,30.0,28.3,0.8,0,0.8,1.7,3,-1.3,-0.5,2.5,0.03,0.06,0.09,0.03,0.09
248,Jan Oblak,GK,29.0,27.7,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,José María Giménez,DF,27.0,26.9,2.0,2,0.0,0.6,1,-0.4,-0.4,2.7,0.07,0.02,0.1,0.07,0.1
250,Yannick Carrasco,"DF,MF",28.0,25.7,7.2,6,1.2,4.1,3,1.1,2.3,11.3,0.31,0.16,0.47,0.28,0.44
251,Axel Witsel,"DF,MF",33.0,25.1,0.6,0,0.6,0.6,0,0.6,1.2,1.2,0.02,0.02,0.05,0.02,0.05
252,Mario Hermoso,DF,27.0,23.4,2.1,3,-0.9,1.4,2,-0.6,-1.5,3.5,0.09,0.06,0.15,0.09,0.15
